shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
2,53.479492,-2.254751,69,0.026421802342561678
2,53.479646,-2.254908,70,0.0266417227827225
2,53.480086,-2.255318,71,0.02724313778087092
2,53.48101,-2.256333,72,0.02861572694008652
2,53.481118,-2.256431,73,0.028761562463882832
2,53.481471,-2.256828,74,0.02929280440499613
2,53.481553,-2.256917,75,0.029413820932792302
2,53.481714,-2.257089,76,0.029649415924249134
2,53.4818,-2.257181,77,0.029775352416182715
2,53.481952,-2.257342,78,0.029996768314437407
2,53.482032,-2.257427,79,0.03011349448973454
2,53.482186,-2.25759,80,0.030337737661315426
2,53.482561,-2.257849,81,0.03079348539855479
2,53.483083,-2.257672,82,0.03134467774248199
2,53.483335,-2.257522,83,0.03163794212831512
2,53.483344,-2.257342,84,0.031818166987865756
2,53.483349,-2.257199,85,0.031961254373752655
2,53.483365,-2.256952,86,0.03220877204988916
2,53.483493,-2.255052,87,0.034113078747876904
2,53.483305,-2.25487,88,0.03437474265444519
2,53.483105,-2.254656,89,0.0346676521967952
2,53.483026,-2.254571,90,0.03478369529223813
2,53.482874,-2.254409,91,0.035005839389616336
2,53.482668,-2.254188,92,0.03530796022637253
2,53.482516,-2.254021,93,0.035533776523393054
2,53.482022,-2.253431,94,0.036303280259573786
2,53.481656,-2.25266,95,0.03715674203376143
2,53.481549,-2.252192,96,0.037636818069405886
2,53.481522,-2.252026,97,0.037804999519037506
2,53.480213,-2.25262,98,0.039242468475223224
2,53.480123,-2.252661,99,0.03934136741353918
2,53.479947,-2.253061,100,0.03977837542261793
2,53.479606,-2.253843,101,0.04063149030351231
2,53.479544,-2.253958,102,0.04076213868658686
2,53.479267,-2.254522,103,0.0413904897031362
2,53.479234,-2.254465,104,0.04145635319833745
2,53.479138,-2.254281,105,0.041663891146674216
2,53.479118,-2.254227,106,0.0417214758668695
2,53.479055,-2.253895,107,0.042059400414660573
2,53.47902,-2.253699,108,0.042258500891807736
2,53.478931,-2.253156,109,0.04280874629160601
2,53.4787,-2.251829,110,0.04415570211864732
2,53.479159,-2.251606,111,0.04466600594971193
2,53.479626,-2.25139,112,0.04518053971925538
2,53.47961,-2.250825,113,0.04574576622252641
2,53.479546,-2.250047,114,0.04652639417488281
2,53.479505,-2.249332,115,0.04724256873460948
2,53.479434,-2.24888,116,0.04770011108237686
2,53.479119,-2.249074,117,0.048070058375920356
2,53.478885,-2.249208,118,0.0483397100030238
2,53.478633,-2.249373,119,0.04864092255255991
2,53.478318,-2.249566,120,0.0490103464283455
2,53.478186,-2.248601,121,0.04998433256787769
2,53.478115,-2.248028,122,0.05056171459045844
2,53.478035,-2.247395,123,0.051199749855942084
2,53.477947,-2.246671,124,0.05192907831418267
2,53.477894,-2.246204,125,0.05239907618651841
2,53.477848,-2.245787,126,0.05281860568488517
2,53.477814,-2.245526,127,0.05308181092799403
2,53.478165,-2.245407,128,0.053452434726469454
2,53.478458,-2.245305,129,0.05376268140252532
2,53.478723,-2.24526,130,0.05403147500363851
2,53.478956,-2.245276,131,0.05426502371375565
2,53.479054,-2.245804,132,0.0548020414043398
2,53.479198,-2.24582,133,0.05494692756654882
2,53.479603,-2.245536,134,0.055441579969758015
2,53.479873,-2.245341,135,0.05577463401942608
2,53.479972,-2.245071,136,0.05606221183498171
2,53.479973,-2.24477,137,0.056363213496106596
2,53.479893,-2.244483,138,0.05666115476548823
2,53.479517,-2.243833,139,0.05741207153850408
2,53.479024,-2.243001,140,0.05837916667343066
2,53.478845,-2.242684,141,0.058743213373732894
2,53.478818,-2.242623,142,0.05880992169405477
2,53.478722,-2.242435,143,0.05902101409088582
2,53.478657,-2.242306,144,0.059165464774511296
2,53.478424,-2.241792,145,0.0597298095273008
2,53.478218,-2.241369,146,0.06020030394809567
2,53.478012,-2.240976,147,0.060644021200408064
2,53.477824,-2.240629,148,0.061038676746422924
2,53.477699,-2.240402,149,0.06129781763474306
2,53.477538,-2.240145,150,0.061601083194936596
2,53.477215,-2.239812,151,0.06206499913559934
2,53.477009,-2.239585,152,0.0623715362459131
2,53.476964,-2.239539,153,0.06243588684808577
2,53.476695,-2.239236,154,0.06284106582088878
2,53.476506,-2.238979,155,0.06316007992715926
2,53.476291,-2.238677,156,0.06353079410277007
2,53.475888,-2.238162,157,0.0641847314086371
2,53.475664,-2.237995,158,0.06446413255394265
2,53.475818,-2.237348,159,0.06512920773766159
2,53.476017,-2.236551,160,0.06595067593546398
2,53.476225,-2.235859,161,0.06667326018660717
2,53.476632,-2.234565,162,0.06802975751428701
2,53.476713,-2.23434,163,0.06826889345888561
2,53.476849,-2.234009,164,0.06862674398634276
2,53.477016,-2.233945,165,0.06880558749335154
2,53.477388,-2.233876,166,0.06918393257393145
2,53.477707,-2.233895,167,0.06950349790372012
2,53.478134,-2.233895,168,0.06993049790371497
2,53.478337,-2.233896,169,0.07013350036676039
2,53.478584,-2.233898,170,0.07038050846378822
2,53.478981,-2.232921,171,0.07143508800085464
2,53.479028,-2.232677,172,0.07168357341290206
2,53.478748,-2.232528,173,0.07200075001985476
2,53.478402,-2.232096,174,0.07255422992012239
2,53.477885,-2.231904,175,0.07310573060008758
